Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label,year,roa,margin_proxy,cost_to_income,loans_to_assets,deposits_to_assets,loan_to_deposit,cost_of_risk,log_assets,loan_growth,country,internet_banking,internet_frequent,internet_purchases,post2020,z_banking,z_freq,z_purchases,digital_index_2,digital_index_3,gdp_growth,unemployment,inflation,policy_rate
BNP Paribas,2016,11.6,160400,765953,153422,5563,12765,-3262,18518,40894,28475,739278,22376,8115,29378,638207,2076959,105220,43411,3.8,Other,DOUBTFUL LOANS(*)/LOANS(**),2016,0.00390715464291784,0.01077344328896237,0.6767409182004561,0.35594251017954615,0.3687858065566051,0.965174103371878,-0.00441241319233089,14.546415362653784,0.04315985387143328,France,59.36,70.4,52.27,0,0.0516205257165246,-0.31363992094660237,0.3910972564840502,-0.1310096976150389,0.04302595375132414,0.9,10.1,0.3,-0.3795081967213115
BNP Paribas,2017,11.9,178446,766890,148156,5777,13231,-2907,19011,40785,25999,752361,21774,8207,29944,640644,1960252,107209,43161,3.3,Other,DOUBTFUL LOANS(*)/LOANS(**),2017,0.00418670660710969,0.01110775553347222,0.6937744723245522,0.3838083062789886,0.3912201084350379,0.9810546492978132,-0.00386383664225019,14.488583594370674,0.01769699625851162,France,62.01,70.25,53.93,0,0.05048695682632687,-0.5005258715943959,0.3132106409048498,-0.2250194573840345,-0.04560942462107307,2.1,9.4,1.2,-0.4
BNP Paribas,2018,11.8,185119,796548,151451,3718,12925,-2764,14661,35723,25980,789952,21062,8005,30583,647001,2040836,105726,42516,2.6,Other,DOUBTFUL LOANS(*)/LOANS(**),2018,0.0039224121879465,0.01032028051249586,0.7193291937153071,0.38707274861870333,0.3903047574621381,0.9917192686441996,-0.0034989467714494,14.528870085795274,0.04996404651490449,France,63.48,75.24,55.33,0,0.05156077606887993,-0.30837678501080606,0.32319079471148077,-0.12840800447096307,0.02212492858985154,1.6,9,2.1,-0.4
BNP Paribas,2019,12.1,155135,834667,157578,3900,13265,-3203,16200,37327,23040,826953,21127,8583,31337,668828,2164713,111845,44597,2.2,Other,DOUBTFUL LOANS(*)/LOANS(**),2019,0.00396495978912678,0.00975972334438791,0.7026705832230867,0.38201507543956176,0.38557859633124575,0.9907579909113456,-0.00387325519104471,14.587798347121016,0.04683955480839352,France,65.55,77.32,57.96,0,0.00445979997215588,-0.4236855167822071,0.26831541267616343,-0.2096128584050256,-0.05030343471129593,2,8.4,1.3,-0.42876712328767125
BNP Paribas,2020,12.8,308703,940991,148303,3737,13599,-5717,12277,33589,23452,830979,21312,7415,30194,695523,2488491,117349,44275,2.1,Other,DOUBTFUL LOANS(*)/LOANS(**),2020,0.00297971742714761,0.00856422627206608,0.681964991530209,0.3339288749688064,0.3781371923788352,0.8830892112676955,-0.00687983691525297,14.72718706063768,0.0048684749919281,France,NA,NA,NA,1,NA,NA,NA,NA,NA,-7.4,8,0.5,-0.5
BNP Paribas,2021,12.89,347883,957684,149723,4675,15037,-2971,10280,29518,21959,833935,19238,9880,29466,713671,2634444,122507,43762,2,Other,DOUBTFUL LOANS(*)/LOANS(**),2021,0.00375031695492483,0.00730248963348623,0.6733238883049221,0.3165506649600447,0.3635241439939509,0.870783055788757,-0.00356262778274086,14.784182712000169,0.00355724994253758,France,71.6,77.69,65.6,1,0.05184006229595833,-0.9258429443819064,0.12693295647618083,-0.437001441042974,-0.24902330853658905,6.9,7.9,2.1,-0.5
BNP Paribas,2022,12.33,318560,1008054,154143,4444,14622,-3004,20251,41082,20245,875301,20831,10597,31695,744851,2666376,126555,47631,1.7,Other,DOUBTFUL LOANS(*)/LOANS(**),2022,0.00397430819959375,0.00781247655994503,0.6654279775776281,0.32827365682859433,0.3780614586989982,0.8683076501854068,-0.00343196226212468,14.79623080503507,0.04960338635505157,France,67.86,82.46,63.48,1,-0.2340338270529881,-0.8416135192416985,0.08892847008783565,-0.5378236731473433,-0.32890629206895033,2.7,7.3,5.9,0.011643835616438355
BNP Paribas,2023,13.2,288259,988549,191482,5190,15011,-2907,60484,79542,19264,876712,19058,11406,30956,703694,2591499,128867,45874,1.7,Other,DOUBTFUL LOANS(*)/LOANS(**),2023,0.00440131367984321,0.00735404489833876,0.6748049003792999,0.3383030439139664,0.3814583760209824,0.8868675199711901,-0.00331579811842429,14.76774703073492,0.00161201689475953,France,72.41,84.08,65.78,1,-0.1424127448712631,-0.9300320022667458,0.0792952841241213,-0.5362223735690044,-0.3310498210046292,1.4,7.3,5.7,3.3075342465753423
BNP Paribas,2024,12.87,182496,1034857,198119,5495,16196,-2999,63496,83020,18514,917049,19524,12187,30193,762247,2704908,134141,48831,1.6,Other,DOUBTFUL LOANS /LOANS,2024,0.0045055136810568,0.00721799040854624,0.6183162335401692,0.33903149386226816,0.3825849160119309,0.8861601168084092,-0.0032702723627636,14.810578458593756,0.04600940787852803,France,71.88,87.87,69.31,1,-0.31655904213539565,-0.6407203323312077,0.17023393405245352,-0.4786396872333017,-0.26234848013804996,1.2,7.4,2.3,3.73224043715847
Banca Transilvania,2015,16.7,4997.93,38301.741,416.424,116.031,603.085,-797.514,464.802,2416.977,-2786.701,28012.315,1952.175,2448.761,1401.326,27587.989,47579.092,6240.813,2854.15,NA,Other,Not found,2015,0.05146716545158113,0.04103010204566325,0.4909783998738679,0.5887526184820845,0.8050120208262908,0.7313587912361477,-0.02847012108781441,10.770148700026262,NA,Romania,5.34,36.63,7.63,0,-1.947494231454509,-2.70725795601152,-2.087637712427155,-2.3273760937330144,-2.2474632999643944,3.2,8.4,-0.4,-0.2063013698630137
