Bank,Fiscal year,CET1 ratio,Cash and balances with central banks,Customer deposits,Debt securities issued / wholesale funding,Fee and commission expense,Fee and commission income,Impairment losses / credit loss expense,Interest expense,Interest income,Loan loss allowance,Loans and advances to customers (gross),Net interest income,Net profit,Operating expenses,Risk-weighted assets (RWA),Total assets,Total equity,Total operating income,asset_quality_value,asset_quality_type,asset_quality_ratio_label
CaixaBank,2016,13.2,13259.957,217123,31996,171.657,2261.91,-1069,2596.196,6753.052,6689.705,204857,4156.856,1054.935,4116,134863.962,347927.262,23555.562,7827,6.9,NPL,NPL ratio
CaixaBank,2017,12.7,20155.318,196611,28691,261.18,2759.849,-799,NA,NA,7135,223951,4746,1684,4577,148940,383186.163,24683.281,8222,6,NPL,NPL ratio
CaixaBank,2018,11.8,19158.213,210465.352,29453,315.043,2898.386,-567,2038.598,6945.498,6014,224693,4906.9,1984.647,4658,145942.433,386622.25,24058.445,8767,4.7,NPL,NPL ratio (loans + contingent liabilities)
CaixaBank,2019,12,15110,221079,33648,342,2940,-425,2104,7055,4863,227406,4951,1705,5750,147880,391414,25151,8605,3.6,NPL,NPL ratio
CaixaBank,2020,13.6,51611,245167,35813,335,2911,-1943,1864,6764,5755,243924,4900,1381,4579,144073,451520,25278,8410,3.3,NPL,NPL ratio
CaixaBank,2021,13.1,104216,392479,53684,424,4129,-897,1917,7892,8625,352951,5975,5229,8049,215500,680036,35425,10274,3.6,NPL,Non-performing loan ratio
CaixaBank,2022,12.8,20522,393060,52608,396,4406,-982,2317,9233,7867,361323,6916,3149,6070,215103,592234,34262,11594,2.7,NPL,NPL Ratio (loans and contingent liabilities)
CaixaBank,2023,12.4,37861,396761,56755,379,4037,-1225,8110,18223,7665,354098,10113,4818,5812,228428,607167,36339,14231,2.7,NPL,Non-performing loan ratio
CaixaBank,2024,12.2,49804,424238,56563,NA,NA,-1056,9796,20904,7016,361214,11108,5787,6108,237969,631003,36865,15873,2.6,NPL,Non-performing loan ratio
Commerzbank,2015,13.8,28509,257615,40605,643,4067,-696,5837,11616,4192,222737,5779,1062,7157,198200,532641,30407,9762,1.6,NPL,NPL ratio (%)
Commerzbank,2016,13.9,34802,250920,38494,625,3837,-900,4771,9848,3934,216518,5077,279,7100,190500,480450,29640,9399,1.6,NPL,NPL ratio (%)
Commerzbank,2017,14.9,55733,248995,43369,745,3923,-781,4222,8423,3337,224083,4201,156,7079,171369,452493,30041,9163,1.3,NPL,NPL ratio (%)4
Commerzbank,2018,12.9,53914,253113,45524,662,3751,-446,3922,8670,2493,231463,4748,865,6879,180500,462369,29411,8570,0.9,NPL,NPL ratio (%)4
Commerzbank,2019,13.4,41164,265048,43182,650,3706,-620,3702,8776,2546,250735,5074,644,6313,181765,463636,30667,8643,0.9,NPE,NPE ratio (%)3
Commerzbank,2020,13.2,75603,281104,44069,592,3909,-1748,2610,7585,3611,254570,4975,-2870,6160,178581,506916,28600,8186,1,NPE,NPE ratio (%)3
Commerzbank,2021,13.6,49507,261965,39352,639,4255,-570,2419,7268,3443,260121,4849,430,6239,175188,473044,29827,8459,0.9,NPE,NPE ratio (%)
Commerzbank,2022,14.1,75233,299455,37982,675,4194,-876,3873,10332,3704,264374,6459,1435,5844,168700,477438,30905,9461,1.1,NPE,NPE-ratio (%)
Commerzbank,2023,14.7,28413,349195,46580,730,4116,-618,9895,18263,3872,273453,8368,2224,6006,175100,517166,33009,10461,0.8,NPE,NPE-ratio (%)
Commerzbank,2024,15.1,73001,366978,53544,821,4459,-743,12884,21215,3134,286931,8331,2677,6244,173400,554646,35716,11107,1.1,NPE,NPE ratio (%)
Crédit Agricole Group,2015,13.7,39262,663135,167810,2765,11681,-3031,16257,36240,21430,761816,6043,6431,18786,509403,1698859,97421,31836,NA,NA,NA
Crédit Agricole Group,2016,14.5,31254,693260,168071,2822,11592,-2412,15237,34373,21347,774010,4800,5172,19102,520963,1722849,103174,30427,3,Impaired,Impaired loans ratio
Crédit Agricole Group,2017,14.9,54119,732420,177532,3438,13147,-1651,13734,33411,19958,834716,6500,7010,19699,521516,1763169,107736,32108,2.7,Impaired,Impaired loans ratio
Crédit Agricole Group,2018,15,70584,789835,198227,4153,13841,-1719,14594,33110,-19475,857505,NA,7369,20266,541770,1854763,112188,32839,2.41,Impaired,Impaired loan ratio(1)
Crédit Agricole Group,2019,15.9,97135,855507,213366,4162,13721,-1757,15512,33509,-18991,932487,NA,7704,20088,559009,2010966,121534,33297,2.47,Impaired,Impaired loans to outstanding loans ratio(1)
Crédit Agricole Group,2020,17.2,197792,963433,171796,3933,13376,-3651,12710,31500,-19585,985075,NA,5193,19921,562059,2217512,126474,33596,2.37,Impaired,Impaired loan ratio
Crédit Agricole Group,2021,17.54,241191,1044566,181705,4621,15371,-2193,11851,31634,-18946,1070539,NA,9101,21169,585441,2323557,133715,36822,2.02,Impaired,Impaired loan ratio on outstandings
Crédit Agricole Group,2022,17.6,210804,1095758,219717,4961,15906,-2893,16739,37648,-20161,1147547,NA,8144,22564,574600,2379120,133791,38162,2.1,Other,non performing loans ratio
Crédit Agricole Group,2023,17.5,180723,1121942,253201,4188,16025,-2941,43143,63255,-19956,1144455,NA,9071,20186,609852,2467099,135620,36492,2.1,Other,non performing loans ratio
Crédit Agricole Group,2024,17.2,9907,1392800,1392800,5108,15556,-3191,62569,78510,-21960,1356100,15941,8640,22729,610100,2601700,148800,38060,2.07,Impaired,Impaired loan ratio on outstandings
DNB,2015,14.4,19317,944428,804928,3101,11963,-2270,22174,57532,11192,1549950,35358,24762,19910,1129373,2598530,190078,53993,0.76,Other,Net non-performing and doubtful loans and guarantees represented 0.76 per cent of the loan portfolio
DNB,2016,16,208263,934897,765869,3172,11452,-7424,18314,52424,15615,1519392,34110,19251,21333,1051498,2653201,206423,52163,1.49,Other,Net non-performing and doubtful loans and guarantees represented 1.49 per cent
DNB,2017,16.4,151595,971137,780247,3831,12279,-2428,18442,53865,12387,1548577,35422,21803,22593,1042601,2698268,216897,51140,0.98,Other,Net non-performing and doubtful loans and guarantees represented 0.98 per cent
DNB,2018,16.4,155592,927092,801918,3925,13235,139,20838,57660,11617,1545180,36822,24282,22057,1077934,2634903,223966,50368,1.51,Stage3,"Net loans at amortised cost and financial commitments in stage 3, in % of net loans"
DNB,2019,18.6,304746,969557,870170,3768,13484,-2191,26147,65349,11609,1677441,39202,25721,23133,960691,2793294,242255,54857,1.09,Stage3,"Net loans and financial commitments in stage 3, per cent of net loans"
DNB,2020,18.7,283526,1105574,777829,3789,13289,-9918,16672,55296,15469,1707829,38623,19840,23401,967433,2918943,248396,56399,1.55,Stage3,"Net loans and financial commitments in stage 3, per cent of net loans"
DNB,2021,19.4,296727,1247719,702759,3981,14992,868,8197,46887,11191,1708702,38690,25355,24034,973431,2919244,243912,55915,1.55,Stage3,"Net loans... in stage 3, in % of net loans"
DNB,2022,18.3,309988,1396630,737886,3890,15343,272,31699,79992,12632,1920333,48294,32861,26510,1061973,3236431,259098,66115,1.25,Stage3,"Net loans... in stage 3, in % of net loans"
DNB,2023,18.2,331408,1422941,807928,3658,14772,-2649,99098,160645,8454,2005139,61547,39479,28620,1099949,3439724,269296,81697,1.17,Stage3,"Net loans... in stage 3, per cent of net loans at amortised cost"
DNB,2024,19.4,147944,1487763,854765,3832,16298,-1209,129364,193554,7766,2258637,64190,45804,30448,1121130,3614125,283325,86537,0.97,Stage3,"Net loans... in stage 3, per cent of net loans at amortised cost"
Danske Bank,2015,16.1,76837,863474,1058450,4887,15566,-61,26333,59666,31412,1851658,33333,13123,24785,833594,3292878,160830,47086,2,NPL,NPL as percentage of total gross exposure
Danske Bank,2016,16.3,53211,943865,1119244,5736,15883,-168,27289,59618,26156,1933030,32329,19858,24647,815249,3483670,166615,49836,1.6,NPL,NPL as percentage of total gross exposure
Danske Bank,2017,17.6,82818,1046858,1163455,6749,17572,-1582,28631,58495,20749,1920032,29863,20900,25877,753409,3539528,168256,50582,1.2,NPL,Non-performing loans as a percentage of total gross exposure (%)
Danske Bank,2018,17,40997,1059119,1071570,6932,17312,-387,30746,59767,21170,2064750,29022,14689,28020,748104,3578467,163276,46955,1.2,NPL,Non-performing loans as a percentage of total gross exposure (%)
Danske Bank,2019,17.3,99035,1140726,1145910,6079,16437,1729,41927,69819,21313,2169320,27892,15072,30960,767177,3761050,170508,48114,1.4,NPL,Non-performing loans as a percentage of total gross exposure (%)
Danske Bank,2020,18.3,320702,1333781,1135971,5760,16434,7089,36234,64352,22554,2070484,28118,4589,32822,784184,4109231,168679,46215,1.2,NPL,Non-performing loans as a percentage of total gross exposure (%)
Danske Bank,2021,17.7,293386,1292030,1126417,6378,18495,141,30904,57678,22746,2072284,26774,12920,30822,860173,3935834,176704,47534,1,NPL,NPL as a percentage of total gross exposure (%)
Danske Bank,2022,17.8,175052,1262293,983305,5993,17305,1502,51241,79267,19645,2032466,28026,-5068,31250,838193,3762999,160318,45895,1.3,Stage3,Total gross credit exposure in stage 3 ... corresponding to 1.3% of total gross exposure
Danske Bank,2023,18.8,259156,1222203,1056208,4481,16111,262,47325,79594,20140,1863831,32269,21262,28908,827882,3770981,175739,55852,1.3,Other,corresponding to 1.3% of total gross exposure
Danske Bank,2024,17.8,107498,1094635,1079246,4551,19463,-543,43829,80526,19901,2013679,36697,23629,25736,814706,3716042,175687,56405,1.3,Stage3,Stage 3 gross/total gross credit exposure
Deutsche Bank,2015,11.1,96940,566974,160016,3647,16412,956,10086,25967,5028,432777,15881,-6772,38667,396714,1629130,67624,33525,1.7,Other,90 days or more past due ratio of our consumer credit exposure
Deutsche Bank,2016,11.8,181364,550204,172316,3255,14999,1383,10929,25636,4546,413455,14707,-1356,29442,357518,1590546,64819,30014,1.45,Other,90 days or more past due ratio of our consumer credit exposure
Deutsche Bank,2017,14,225655,580812,159715,3100,14102,525,11714,24092,3921,405621,12378,-735,24695,344212,1474732,68099,26447,1.34,Other,90 days or more past due ratio of our consumer credit exposure
Deutsche Bank,2018,13.6,188731,564405,152083,2882,12921,525,11601,24793,4247,433832,13192,341,23461,350432,1348137,68737,25316,NA,NA,NA
Deutsche Bank,2019,13.6,137592,572208,136473,2763,12283,723,11400,25149,4018,454235,13749,-5265,25076,324015,1297674,62160,23165,NA,NA,NA
Deutsche Bank,2020,13.6,166208,568031,149163,2803,12227,1792,6280,17806,4808,431807,11526,624,21216,328951,1325259,62196,24028,NA,NA,NA
Deutsche Bank,2021,13.2,192021,603750,144485,2796,13730,515,5444,16599,4779,490671,11155,2510,21505,351629,1323993,68030,25410,NA,NA,NA
Deutsche Bank,2022,13.4,178896,621456,131525,2675,12512,1226,10649,24299,4848,501732,13650,5659,20390,360003,1336788,72328,27210,NA,NA,NA
Deutsche Bank,2023,13.7,178416,622035,119390,2452,11657,1505,30472,44074,5208,492868,13602,4892,21695,349742,1312331,74818,28879,NA,NA,NA
Deutsche Bank,2024,13.8,147494,666261,114899,2818,13190,1830,36292,49358,5697,503005,13065,3505,22971,357427,1387177,79432,30092,NA,NA,NA
Erste Group Bank,2015,12,7328,127797.081,27895.975,479,2341,729.143,1701,5518,6009,131906,4444.657,968.228,3868.858,98300,199743.371,14807.313,6771,7.1,NPL,NPL ratio
Erste Group Bank,2016,12.8,13333,138013,27192,442,2225,-195.672,1493,5885,4613,135267,4374.518,1264.728,4028,103639,208227.07,16602.154,6691,4.9,NPL,NPL ratio
Erste Group Bank,2017,12.9,21796.299,150920.715,25095,477.816,2329.384,-132.017,1271.268,5624.422,3977,143509,4353.154,1316.218,4158,111571,220659.433,18288.316,6669,4,NPL,NPL ratio
Erste Group Bank,2018,13.5,17549.181,162638.233,29738.288,468.571,2377.02,59.253,2365,6947,-3563,152836,4581.977,1793.446,4181,114599,236791.833,18868.719,6916,3.2,NPL,NPL ratio based on gross customer loans
Erste Group Bank,2019,13.7,10693.301,173331,30000,373,2374,-39.159,2452,7199,-3290,157312,4746.85,1470.111,4283,119000,245692.847,20477.324,7256,2.5,NPL,NPL ratio based on gross customer loans
Erste Group Bank,2020,14.2,35839,191070,30676,378,2355,-1295,621,5107.9,4000,163417,4775,783,4221,120000,277394,22410,7155,2.7,NPL,NPL ratio
Erste Group Bank,2021,14.5,45495,210523,32130,419,2722,-159,1610,6585,4000,184177,4976,1923,4307,129647,307428,23513,7742,2.4,NPL,NPL ratio
Erste Group Bank,2022,14.2,35685,223973,29300,436,2888,-299,5289,11240,-3830,198143,5950,2164,4574,143926,323865,25305,8570,2,NPL,NPL ratio
Erste Group Bank,2023,15.7,36685,232815,43759,464,3104,-128,12262,19490,-3915,203156,7228,2998,5020,146545,337155,28502,10552,2,NPL,NPL ratio
Erste Group Bank,2024,15.1,25129,241651,51889,517,3454,-397,11581,19109,4100,213024,7528,3125,5279,159100,353736,30767,11178,2.6,NPL,NPL ratio – non-performing loans as a percentage of gross customer loans
Eurobank,2015,17,1798,31446,150,178,370,-2665,1123,2586,-11790,51683,1463,-1155,1017,38888,73553,7132,1762,NA,NA,NA
Eurobank,2016,17.6,1477,34031,102,137,381,-775,829,2377,-11598,50656,1548,249,992,38511,66393,7355,2062,NA,NA,NA
Eurobank,2017,17.9,1524,33843,549,114,372,-750,700,2164,-10134,47242,1464,115,895,38387,60029,7150,1882,NA,NA,NA
Eurobank,2018,14.2,1924,39083,2707,124,422,-680,770,2186,-8800,44973,1416,91,879,38849,57984,5031,1845,NA,NA,NA
Eurobank,2019,16.7,4679,44841,2406,119,413,-624,728,2105,-7099,44406,1377,127,901,41407,64761,6667,1844,29.2,NPE,driving the NPE ratio to
Eurobank,2020,12.4,6637,47306,1559,91,331,-449,447,1454,-3477,40874,1007,247,652,NA,67726,5225,1984,14,NPE,driving the NPE ratio to
Eurobank,2021,12.4,13515,53232,2554,NA,358,-413,521,1833,-1872,40815,1312,397,869,NA,77848,5565,1885,6.8,NPE,driving the NPE ratio at
Eurobank,2022,15.1,14994,57297,3554,136,584,-292,764,2315,-1626,43450,1551,1336,910,NA,81457,6653,3135,5.2,NPE,driving the NPE ratio to
Eurobank,2023,16.1,10943,57842,4758,NA,447,-413,2280,4454,-1258,42804,2174,1136,906,NA,79815,7532,2914,3.5,NPE,driving the NPE ratio to
Eurobank,2024,17.6,16131,78860,7057,144,705,-305,2593,5097,-1309,52245,2504,1514,1090,NA,101151,8636,3339,2.9,NPE,"The Group NPE ratio, excluding the NPE covered by the APS, decreased to"
ING Groep,2015,12.7,21458,500777,121289,1093,3411,1347,33760,46321,5786,543115,12561,4010,9246,321151,841769,48470,16845,2.5,NPL,ING Bank’s non-performing loan ratio
ING Groep,2016,14.18,18144,522942,103234,1148,3581,974,30941,44182,5308,568838,13241,4651,10614,314325,845081,50399,17491,2.1,NPL,NPL ratio
ING Groep,2017,14.7,21989,539799,96086,1155,3865,676,30244,43958,4628,579050,13714,4905,9829,309887,846216,51121,17773,1.9,NPL,The NPL ratio
ING Groep,2018,14.5,45987,556000,119751,1442,4240,656,13850,27766,NA,600000,13916,4703,10682,314149,887000,51735,18176,1.5,Stage3,Stage 3 ratio
ING Groep,2019,14.57,53202,574433,118528,1571,4439,1120,14376,28454,4646,620945,14079,4781,10353,326414,891744,54662,18306,1.3,Stage3,stage 3 make up ... of total amounts
ING Groep,2020,15.5,111087,609642,82065,1503,4514,2675,9094,22698,5854,603956,13604,2485,11153,306324,937275,55659,17637,1.7,Stage3,Stage 3 ratio
